,revenue,months_open
2016-05-31,56094,0.0
2016-06-30,76196,1.0
2016-07-31,95236,2.0
2016-08-31,105500,3.0
2016-09-30,100368,4.0
2016-10-31,104330,5.0
2016-11-30,90776,6.0
2016-12-31,131390,7.0
2017-01-31,109994,8.0
2017-02-28,117685,9.0
2017-03-31,120048,10.0
2017-04-30,104560,11.0
2017-05-31,105098,12.0
2017-06-30,73661,13.0
2017-07-31,69477,14.0
2017-08-31,66724,15.0
2017-09-30,96183,16.0
2017-10-31,93622,17.0
2017-11-30,92628,18.0
2017-12-31,110041,19.0
2018-01-31,93841,20.0
2018-02-28,108479,21.0
2018-03-31,123298,22.0
2018-04-30,104273,23.0
2018-05-31,91282,24.0
2018-06-30,72137,25.0
2018-07-31,66616,26.0
2018-08-31,89379,27.0
2018-09-30,89895,28.0
2018-10-31,82939,29.0
2018-11-30,75300,30.0
2018-12-31,100863,31.0
2019-01-31,104232,32.0
2019-02-28,99113,33.0
